military_rank,tax_number,full_name,birth_date,source_unit,specialty_name,specialty_code,specialty_mos_code,category,training_location,start_date,end_date,completion_order_number,completion_certificate_number,notes
старший сержант,2797171603,ЛИТВИН Андрій Степанович,07/31/1976,А4754,Гранатометник,107,107543,КІБР,222 брез,11/07/2025,01/03/2026,№382 від 03.01.2026,32051,
старший сержант,3470613426,КОЗАК Олег Валерійович,01/08/1995,А4007,Сапер,166,166611,КІБР,242 ЦПП,10/25/2025,12/14/2025,№168 від 14.12.2025,20461,
солдат,2634826815,ПАВЛЕНКО Юрій Олександрович,02/20/1972,А2167,Бойовий медик,878,878453,КІБР,111 брез,10/28/2025,12/23/2025,№258 від 23.12.2025,27828,
старший солдат,3492985850,ОЛІЙНИК Іван Глібович,08/19/1995,А2167,Оператор БПЛА,212,212720,КІБР,111 брез,10/01/2025,11/18/2025,№278 від 18.11.2025,67539,
солдат,2913920460,ГЕРАСИМЕНКО Гліб Миколайович,10/12/1979,А0139,Кухар,868,868512,КІБР,333 брез,11/24/2025,01/16/2026,№151 від 16.01.2026,32118,
сержант,2970041100,КОТОВ Василь Ігорович,04/25/1981,А2167,Снайпер,110,110001,КІБР,242 ЦПП,11/05/2025,01/01/2026,№128 від 01.01.2026,98770,
головний сержант,3204426384,МАРТИНЕНКО Вадим Валерійович,09/25/1987,А0998,Телеграфіст,402,402721,КІБР,333 брез,11/12/2025,12/28/2025,№212 від 28.12.2025,42493,
солдат,3134979434,КИРИЛЕНКО Олег Глібович,10/30/1985,А4007,Кулеметник,101,101255,КІБР,222 брез,11/08/2025,12/24/2025,№323 від 24.12.2025,67048,
сержант,3082329599,КОЗАК Василь Сергійович,05/22/1984,А0998,Телеграфіст,402,402721,КІБР,222 брез,11/05/2025,12/29/2025,№219 від 29.12.2025,65966,
старший солдат,3804937127,КОТОВ Руслан Степанович,03/04/2004,А4010,Заряджаючий,113,113251,КІБР,111 брез,10/04/2025,11/29/2025,№261 від 29.11.2025,58992,
головний сержант,3641372041,ВОРОНОВ Віталій Олегович,09/11/1999,А4010,Телеграфіст,402,402721,КІБР,242 ЦПП,11/27/2025,01/14/2026,№205 від 14.01.2026,44750,
солдат,2886097950,ОЛІЙНИК Олег Михайлович,01/06/1979,А2167,Водій,837,837037,КІБР,242 ЦПП,10/20/2025,12/13/2025,№326 від 13.12.2025,27685,
солдат,2583648897,МЕЛЬНИК Михайло Богданович,09/26/1970,А4010,Снайпер,110,110001,КІБР,242 ЦПП,10/14/2025,12/05/2025,№264 від 05.12.2025,42412,
старший солдат,3421542958,ПАНЧЕНКО В'ячеслав Віталійович,09/04/1993,А4007,Кухар,868,868512,КІБР,333 брез,11/17/2025,01/07/2026,№393 від 07.01.2026,81114,
старший солдат,2939663366,ВОРОНОВ Віктор Григорович,06/25/1980,А4754,Бойовий медик,878,878453,КІБР,242 ЦПП,10/02/2025,11/17/2025,№263 від 17.11.2025,36697,
солдат,3058721672,ДЯЧЕНКО Гліб Анатолійович,09/29/1983,А0998,Сапер,166,166611,КІБР,242 ЦПП,10/25/2025,12/10/2025,№38 від 10.12.2025,76588,
головний сержант,3170056377,ДЯЧЕНКО Михайло Сергійович,10/16/1986,А0666,Заряджаючий,113,113251,КІБР,222 брез,11/21/2025,01/17/2026,№55 від 17.01.2026,48991,
старший сержант,2736861280,ОЛІЙНИК Юрій Іванович,12/06/1974,А7014,Телеграфіст,402,402721,КІБР,242 ЦПП,11/20/2025,01/13/2026,№185 від 13.01.2026,55878,
солдат,3622664677,СИДОРЕНКО Роман Ігорович,03/08/1999,А4007,Розвідник,106,106642,КІБР,121 НЦ,10/28/2025,12/21/2025,№99 від 21.12.2025,66160,
старший солдат,2871981032,ГРИЦЕНКО В'ячеслав Михайлович,08/18/1978,А4754,Гранатометник,107,107543,КІБР,111 брез,10/04/2025,11/27/2025,№118 від 27.11.2025,49835,
солдат,3512344570,САВЧЕНКО Костянтин Григорович,02/29/1996,А0666,Кухар,868,868512,КІБР,111 брез,11/14/2025,01/06/2026,№191 від 06.01.2026,36983,
сержант,3684219061,ДЯЧЕНКО Гліб Ігорович,11/13/2000,А2167,Кулеметник,101,101255,КІБР,242 ЦПП,11/03/2025,12/31/2025,№126 від 31.12.2025,66571,
головний сержант,3051967803,КОНДРАТЮК Руслан Юрійович,07/23/1983,А4007,Радіотелефоніст,403,403733,КІБР,111 брез,11/03/2025,12/20/2025,№430 від 20.12.2025,87623,
старший солдат,3825862523,САВЧЕНКО Богдан Валерійович,09/29/2004,А4754,Заряджаючий,113,113251,КІБР,333 брез,11/07/2025,12/30/2025,№70 від 30.12.2025,65142,
солдат,2827825777,КОТОВ Василь Анатолійович,06/03/1977,А1126,Заряджаючий,113,113251,КІБР,121 НЦ,10/13/2025,12/01/2025,№175 від 01.12.2025,29036,
старший солдат,3659092406,ГРИЦЕНКО Віталій Сергійович,03/06/2000,А0998,Снайпер,110,110001,КІБР,111 брез,11/27/2025,01/21/2026,№373 від 21.01.2026,36365,
головний сержант,3752932005,ДЯЧЕНКО Ігор Анатолійович,10/01/2002,А4007,Заряджаючий,113,113251,КІБР,222 брез,10/26/2025,12/19/2025,№259 від 19.12.2025,93915,
молодший сержант,2752688375,ГРИЦЕНКО Сергій Ігорович,05/13/1975,А4007,Гранатометник,107,107543,КІБР,333 брез,11/26/2025,01/14/2026,№421 від 14.01.2026,83596,
головний сержант,2620582892,ОЛІЙНИК Борис Павлович,09/30/1971,А2167,Телеграфіст,402,402721,КІБР,111 брез,11/22/2025,01/12/2026,№177 від 12.01.2026,85398,
головний сержант,3073376960,ЛИТВИН Максим Володимирович,02/22/1984,А1126,Механік-водій,121,121223,КІБР,222 брез,10/21/2025,12/13/2025,№91 від 13.12.2025,24678,
молодший сержант,2557967642,КИРИЛЕНКО Вадим Віталійович,01/12/1970,А0666,Кулеметник,101,101255,КІБР,333 брез,10/10/2025,12/06/2025,№308 від 06.12.2025,52599,
молодший сержант,2886221090,КОНДРАТЮК Артем Григорович,01/08/1979,А0998,Кулеметник,101,101255,КІБР,333 брез,11/16/2025,01/13/2026,№177 від 13.01.2026,10147,
старший солдат,3589670818,ШЕВЧЕНКО Андрій Анатолійович,04/12/1998,А0666,Бойовий медик,878,878453,КІБР,121 НЦ,10/05/2025,12/02/2025,№355 від 02.12.2025,17640,
старший сержант,3400183496,МАРТИНЕНКО Олег Миколайович,02/02/1993,А7014,Снайпер,110,110001,КІБР,242 ЦПП,10/18/2025,12/08/2025,№73 від 08.12.2025,83801,
молодший сержант,3309109046,ГРИЦЕНКО Денис Михайлович,08/07/1990,А4010,Водій,837,837037,КІБР,222 брез,10/26/2025,12/14/2025,№324 від 14.12.2025,18070,
головний сержант,2937636658,САВЧЕНКО Костянтин Сергійович,06/05/1980,А7014,Механік-водій,121,121223,КІБР,111 брез,10/27/2025,12/23/2025,№270 від 23.12.2025,38038,
молодший сержант,3064956388,КРАВЧЕНКО Борис Богданович,11/30/1983,А7014,Телеграфіст,402,402721,КІБР,242 ЦПП,11/21/2025,01/13/2026,№10 від 13.01.2026,53143,
солдат,3733227987,КОТОВ Вадим Анатолійович,03/18/2002,А4007,Кулеметник,101,101255,КІБР,242 ЦПП,10/22/2025,12/18/2025,№287 від 18.12.2025,70426,
солдат,3038397860,СИДОРЕНКО Віктор Іванович,03/09/1983,А0501,Стрілець,100,100915,БЗВП,333 брез,10/02/2025,11/30/2025,№247 від 30.11.2025,82713,
старший солдат,2601175902,ГЕРАСИМЕНКО Сергій Павлович,03/20/1971,А4010,Розвідник,106,106642,КІБР,333 брез,10/09/2025,11/26/2025,№320 від 26.11.2025,83169,
сержант,2890595520,КУЗЬМЕНКО Роман Володимирович,02/20/1979,А0998,Механік-водій,121,121223,КІБР,121 НЦ,11/27/2025,01/13/2026,№417 від 13.01.2026,73555,
старший сержант,2718415066,ВОРОНОВ Борис Миколайович,06/05/1974,А4007,Водій,837,837037,КІБР,111 брез,10/05/2025,11/27/2025,№52 від 27.11.2025,94578,
старший солдат,3387496347,ДЯЧЕНКО Дмитро Олександрович,09/28/1992,А0501,Радіотелефоніст,403,403733,КІБР,222 брез,10/06/2025,12/05/2025,№377 від 05.12.2025,64382,
старший солдат,3122986423,КИРИЛЕНКО Валерій Сергійович,07/02/1985,А4010,Телеграфіст,402,402721,КІБР,121 НЦ,10/02/2025,11/23/2025,№336 від 23.11.2025,37760,
молодший сержант,3343318134,МОРОЗ Юрій Павлович,07/15/1991,А4007,Водій,837,837037,КІБР,111 брез,11/28/2025,01/18/2026,№265 від 18.01.2026,51495,
молодший сержант,2972535379,МЕЛЬНИК Ігор Павлович,05/20/1981,А4754,Снайпер,110,110001,КІБР,242 ЦПП,11/27/2025,01/16/2026,№423 від 16.01.2026,42762,
головний сержант,3723283707,ХОТЯНОВИЧ Віталій Миколайович,12/08/2001,А0998,Кулеметник,101,101255,КІБР,242 ЦПП,10/08/2025,11/25/2025,№269 від 25.11.2025,61814,
старший солдат,2664809207,МЕЛЬНИК Іван Глібович,12/16/1972,А0998,Сапер,166,166611,КІБР,333 брез,10/08/2025,11/30/2025,№179 від 30.11.2025,56804,
молодший сержант,2796515920,ШЕВЧЕНКО Руслан Петрович,07/25/1976,А0501,Кулеметник,101,101255,КІБР,111 брез,11/06/2025,01/03/2026,№94 від 03.01.2026,26285,
старший солдат,3724380864,КРАВЧЕНКО Андрій Віталійович,12/19/2001,А7014,Гранатометник,107,107543,КІБР,222 брез,10/12/2025,12/08/2025,№228 від 08.12.2025,58629,
головний сержант,3258333319,ТКАЧУК Віктор Ігорович,03/17/1989,А0139,Гранатометник,107,107543,КІБР,121 НЦ,11/15/2025,01/14/2026,№148 від 14.01.2026,86671,
старший солдат,3384599448,ДОВЖЕНКО Руслан Петрович,08/30/1992,А0666,Гранатометник,107,107543,КІБР,333 брез,10/10/2025,11/26/2025,№414 від 26.11.2025,15043,
сержант,3201460809,КОНДРАТЮК В'ячеслав Юрійович,08/26/1987,А1126,Бойовий медик,878,878453,КІБР,121 НЦ,10/11/2025,12/01/2025,№382 від 01.12.2025,80057,
сержант,3174494068,БІЛОУС Анатолій Григорович,11/29/1986,А0666,Механік-водій,121,121223,КІБР,121 НЦ,11/08/2025,12/26/2025,№62 від 26.12.2025,63879,
головний сержант,2664342692,КРАВЧЕНКО Борис Сергійович,12/11/1972,А4754,Гранатометник,107,107543,КІБР,242 ЦПП,10/16/2025,12/10/2025,№302 від 10.12.2025,75160,
молодший сержант,3557202057,ПАНЧЕНКО Роман Степанович,05/23/1997,А4754,Гранатометник,107,107543,КІБР,242 ЦПП,11/04/2025,01/03/2026,№172 від 03.01.2026,90257,
сержант,3817088520,САВЧЕНКО Олег Віталійович,07/03/2004,А4754,Стрілець,100,100915,БЗВП,222 брез,10/02/2025,11/19/2025,№365 від 19.11.2025,72818,
старший сержант,3572039110,МОРОЗ Гліб Олександрович,10/18/1997,А4007,Гранатометник,107,107543,КІБР,121 НЦ,11/10/2025,12/25/2025,№37 від 25.12.2025,15972,
старший сержант,3389767382,КОЗАК Віктор Анатолійович,10/21/1992,А0139,Телеграфіст,402,402721,КІБР,333 брез,10/26/2025,12/22/2025,№57 від 22.12.2025,63974,
старший сержант,3753749350,КОЗАК Борис Віталійович,10/09/2002,А0501,Сапер,166,166611,КІБР,111 брез,11/02/2025,12/27/2025,№494 від 27.12.2025,68530,
солдат,3332564284,ДОВЖЕНКО Павло Віталійович,03/29/1991,А4010,Гранатометник,107,107543,КІБР,222 брез,11/07/2025,12/22/2025,№1 від 22.12.2025,19447,
молодший сержант,3806169076,ГРИЦЕНКО Віктор Анатолійович,03/16/2004,А0139,Механік-водій,121,121223,КІБР,121 НЦ,11/15/2025,01/02/2026,№105 від 02.01.2026,26965,
солдат,3138855021,ГРИЦЕНКО Денис Григорович,12/08/1985,А4754,Оператор БПЛА,212,212720,КІБР,121 НЦ,10/08/2025,12/04/2025,№486 від 04.12.2025,66739,
сержант,3509293938,ПАВЛЕНКО Ігор Володимирович,01/29/1996,А0139,Водій,837,837037,КІБР,121 НЦ,10/10/2025,11/26/2025,№370 від 26.11.2025,41572,
старший сержант,3352988015,ХОТЯНОВИЧ Володимир Сергійович,10/19/1991,А4010,Снайпер,110,110001,КІБР,121 НЦ,11/09/2025,01/03/2026,№442 від 03.01.2026,96780,
молодший сержант,3313562556,КОЗАК Борис Олегович,09/20/1990,А4007,Водій,837,837037,КІБР,333 брез,10/17/2025,12/16/2025,№344 від 16.12.2025,68984,
старший солдат,3064165480,ОЛІЙНИК Олег Віталійович,11/22/1983,А0666,Механік-водій,121,121223,КІБР,242 ЦПП,10/17/2025,12/05/2025,№146 від 05.12.2025,64652,
молодший сержант,2862566403,КУЗЬМЕНКО Андрій Сергійович,05/16/1978,А1126,Заряджаючий,113,113251,КІБР,222 брез,11/21/2025,01/09/2026,№48 від 09.01.2026,81383,
солдат,2965622074,ПОЛІЩУК Петро Петрович,03/12/1981,А4754,Розвідник,106,106642,КІБР,111 брез,11/20/2025,01/07/2026,№441 від 07.01.2026,63437,
солдат,2987640872,МАРТИНЕНКО Василь Олександрович,10/18/1981,А4010,Гранатометник,107,107543,КІБР,121 НЦ,11/08/2025,01/02/2026,№296 від 02.01.2026,22965,
старший солдат,3434718024,КОНДРАТЮК Олег Михайлович,01/14/1994,А4010,Оператор БПЛА,212,212720,КІБР,121 НЦ,11/08/2025,01/05/2026,№7 від 05.01.2026,31295,
старший сержант,3395679673,ПАВЛЕНКО Віталій Олегович,12/19/1992,А4007,Розвідник,106,106642,КІБР,333 брез,11/11/2025,01/01/2026,№463 від 01.01.2026,79012,
сержант,3743903952,КОНДРАТЮК Петро Петрович,07/03/2002,А0666,Розвідник,106,106642,КІБР,222 брез,10/15/2025,12/08/2025,№115 від 08.12.2025,86665,
старший солдат,3297855453,СИДОРЕНКО Павло Андрійович,04/16/1990,А2167,Радіотелефоніст,403,403733,КІБР,242 ЦПП,10/01/2025,11/24/2025,№122 від 24.11.2025,96778,
старший солдат,2929211938,КОРШЕВНЮК Ігор Анатолійович,03/13/1980,А0998,Механік-водій,121,121223,КІБР,333 брез,11/21/2025,01/18/2026,№98 від 18.01.2026,10795,
молодший сержант,2908180253,ЗАЙЦЕВ Петро Володимирович,08/15/1979,А0666,Оператор БПЛА,212,212720,КІБР,242 ЦПП,10/15/2025,12/06/2025,№34 від 06.12.2025,75294,
солдат,3277870913,ХОТЯНОВИЧ Володимир Валерійович,09/28/1989,А7014,Сапер,166,166611,КІБР,242 ЦПП,10/13/2025,12/03/2025,№26 від 03.12.2025,72483,
головний сержант,3204924039,ШЕВЧЕНКО Денис Григорович,09/30/1987,А4754,Кухар,868,868512,КІБР,222 брез,11/14/2025,01/09/2026,№135 від 09.01.2026,94120,
старший солдат,2687596538,КОЗАК Олег Віталійович,07/31/1973,А0501,Кухар,868,868512,КІБР,111 брез,11/04/2025,12/21/2025,№62 від 21.12.2025,95347,
старший сержант,3276475687,КУЗЬМЕНКО Борис Іванович,09/14/1989,А0139,Радіотелефоніст,403,403733,КІБР,242 ЦПП,10/09/2025,12/05/2025,№465 від 05.12.2025,60446,
старший сержант,2810080210,БІЛОУС Василь Сергійович,12/07/1976,А2167,Механік-водій,121,121223,КІБР,111 брез,10/08/2025,11/29/2025,№302 від 29.11.2025,85690,
старший солдат,2657483391,МОРОЗ Микола Валерійович,10/03/1972,А2167,Водій,837,837037,КІБР,242 ЦПП,10/12/2025,12/01/2025,№222 від 01.12.2025,22739,
старший солдат,3083247831,БОНДАРЕНКО Віталій Віталійович,05/31/1984,А0139,Оператор БПЛА,212,212720,КІБР,111 брез,11/27/2025,01/25/2026,№94 від 25.01.2026,51514,
головний сержант,3137838346,БОНДАРЕНКО Валерій Глібович,11/28/1985,А0666,Заряджаючий,113,113251,КІБР,242 ЦПП,10/01/2025,11/16/2025,№196 від 16.11.2025,67351,
сержант,3360495886,ВОРОНОВ Роман Миколайович,01/02/1992,А4007,Оператор БПЛА,212,212720,КІБР,242 ЦПП,10/06/2025,11/21/2025,№337 від 21.11.2025,72091,
головний сержант,3557720339,ПАНЧЕНКО Сергій Петрович,05/28/1997,А0998,Розвідник,106,106642,КІБР,333 брез,11/26/2025,01/10/2026,№228 від 10.01.2026,51584,
сержант,2621271275,ДОВЖЕНКО Микола Віталійович,10/07/1971,А0139,Бойовий медик,878,878453,КІБР,222 брез,11/13/2025,01/12/2026,№214 від 12.01.2026,75924,
старший сержант,2777648939,КРАВЧЕНКО Олексій Іванович,01/18/1976,А7014,Заряджаючий,113,113251,КІБР,222 брез,10/14/2025,11/30/2025,№461 від 30.11.2025,95107,
головний сержант,3070474814,КОНДРАТЮК Юрій Сергійович,01/24/1984,А0501,Розвідник,106,106642,КІБР,333 брез,11/24/2025,01/17/2026,№70 від 17.01.2026,81425,
старший солдат,3220313061,ЛИТВИН Олег Михайлович,03/02/1988,А0666,Бойовий медик,878,878453,КІБР,333 брез,11/15/2025,01/10/2026,№169 від 10.01.2026,66054,
молодший сержант,3386072692,МОРОЗ Денис Сергійович,09/14/1992,А0139,Оператор БПЛА,212,212720,КІБР,121 НЦ,10/07/2025,11/21/2025,№318 від 21.11.2025,57014,
старший сержант,3746167144,ОЛІЙНИК Максим Ігорович,07/25/2002,А4754,Водій,837,837037,КІБР,121 НЦ,10/02/2025,11/29/2025,№330 від 29.11.2025,70410,
солдат,3476975610,КРАВЧЕНКО Валерій Володимирович,03/12/1995,А0139,Сапер,166,166611,КІБР,242 ЦПП,10/21/2025,12/08/2025,№294 від 08.12.2025,31099,
солдат,3504285104,ТИЩЕНКО Гліб Павлович,12/10/1995,А1126,Водій,837,837037,КІБР,222 брез,10/11/2025,11/25/2025,№54 від 25.11.2025,36414,
молодший сержант,3378718100,КИРИЛЕНКО Вадим Віталійович,07/03/1992,А4754,Бойовий медик,878,878453,КІБР,222 брез,10/18/2025,12/16/2025,№144 від 16.12.2025,75501,
головний сержант,3529000516,ТКАЧУК Дмитро Володимирович,08/14/1996,А7014,Сапер,166,166611,КІБР,222 брез,11/03/2025,12/27/2025,№359 від 27.12.2025,31946,
молодший сержант,2787139960,ХОТЯНОВИЧ Максим Сергійович,04/22/1976,А0501,Стрілець,100,100915,БЗВП,333 брез,10/21/2025,12/09/2025,№453 від 09.12.2025,12566,
молодший сержант,3260535882,БОНДАРЕНКО Михайло Петрович,04/08/1989,А1126,Розвідник,106,106642,КІБР,222 брез,11/16/2025,01/05/2026,№180 від 05.01.2026,11301,
головний сержант,3237184199,ДОВЖЕНКО Олег Олегович,08/17/1988,А7014,Стрілець,100,100915,БЗВП,242 ЦПП,10/09/2025,11/24/2025,№294 від 24.11.2025,13580,
солдат,2565047965,БОНДАРЕНКО В'ячеслав Андрійович,03/24/1970,А4754,Заряджаючий,113,113251,КІБР,111 брез,10/21/2025,12/07/2025,№106 від 07.12.2025,57968,
головний сержант,3241175324,ШЕВЧЕНКО Богдан Олександрович,09/26/1988,А1126,Водій,837,837037,КІБР,121 НЦ,11/21/2025,01/14/2026,№6 від 14.01.2026,70961,
головний сержант,2804606138,ТИЩЕНКО Роман Сергійович,10/14/1976,А4007,Телеграфіст,402,402721,КІБР,242 ЦПП,11/10/2025,12/28/2025,№12 від 28.12.2025,31010,
сержант,3829410748,КОТОВ В'ячеслав Степанович,11/04/2004,А4010,Бойовий медик,878,878453,КІБР,242 ЦПП,11/07/2025,12/27/2025,№132 від 27.12.2025,25902,
головний сержант,3252439014,ХОТЯНОВИЧ Володимир Степанович,01/17/1989,А0666,Снайпер,110,110001,КІБР,242 ЦПП,10/12/2025,12/04/2025,№344 від 04.12.2025,75866,
солдат,3645087178,КОРШЕВНЮК Павло Сергійович,10/18/1999,А4007,Снайпер,110,110001,КІБР,111 брез,11/11/2025,12/30/2025,№210 від 30.12.2025,19207,
старший сержант,3806274396,ГЕРАСИМЕНКО Олег Валерійович,03/17/2004,А4007,Снайпер,110,110001,КІБР,333 брез,11/25/2025,01/18/2026,№404 від 18.01.2026,89480,
молодший сержант,3042553505,ВОРОНОВ Микола Ігорович,04/20/1983,А1126,Кухар,868,868512,КІБР,121 НЦ,10/21/2025,12/12/2025,№231 від 12.12.2025,73619,
солдат,2985559354,ДОВЖЕНКО Богдан Олександрович,09/27/1981,А1126,Сапер,166,166611,КІБР,111 брез,10/19/2025,12/03/2025,№192 від 03.12.2025,28690,
сержант,3129387147,ХОТЯНОВИЧ Василь Сергійович,09/04/1985,А1126,Механік-водій,121,121223,КІБР,121 НЦ,11/04/2025,12/30/2025,№216 від 30.12.2025,63701,
старший сержант,2842435049,МОРОЗ Віктор Іванович,10/27/1977,А7014,Стрілець,100,100915,БЗВП,242 ЦПП,11/17/2025,01/04/2026,№465 від 04.01.2026,19283,
старший солдат,3074558705,МЕЛЬНИК В'ячеслав Анатолійович,03/05/1984,А0139,Снайпер,110,110001,КІБР,222 брез,11/08/2025,12/26/2025,№388 від 26.12.2025,76350,
старший солдат,3361405686,КУЗЬМЕНКО Віктор Андрійович,01/12/1992,А1126,Радіотелефоніст,403,403733,КІБР,333 брез,11/22/2025,01/16/2026,№62 від 16.01.2026,72801,
солдат,3317055177,БІЛОУС Олексій Богданович,10/25/1990,А0139,Сапер,166,166611,КІБР,242 ЦПП,10/15/2025,12/11/2025,№80 від 11.12.2025,46252,
молодший сержант,2605062973,ШЕВЧЕНКО Вадим Сергійович,04/28/1971,А0998,Водій,837,837037,КІБР,242 ЦПП,10/23/2025,12/08/2025,№499 від 08.12.2025,29990,
старший солдат,3762482924,КОНДРАТЮК Борис Олегович,01/04/2003,А0501,Сапер,166,166611,КІБР,242 ЦПП,11/06/2025,12/27/2025,№395 від 27.12.2025,40025,
молодший сержант,2662611440,МАРТИНЕНКО Роман Олегович,11/24/1972,А0501,Механік-водій,121,121223,КІБР,111 брез,11/15/2025,01/08/2026,№219 від 08.01.2026,99551,
старший солдат,3531252128,ОЛІЙНИК Віктор Сергійович,09/05/1996,А0501,Стрілець,100,100915,БЗВП,111 брез,10/06/2025,11/29/2025,№231 від 29.11.2025,94303,
старший сержант,3698284449,ВОРОНОВ Ігор Павлович,04/02/2001,А0501,Заряджаючий,113,113251,КІБР,121 НЦ,11/20/2025,01/14/2026,№456 від 14.01.2026,62621,
солдат,3113023850,ДОВЖЕНКО Михайло Михайлович,03/25/1985,А4754,Гранатометник,107,107543,КІБР,333 брез,11/14/2025,01/04/2026,№245 від 04.01.2026,22284,
молодший сержант,2781296620,ХОТЯНОВИЧ Вадим Олегович,02/23/1976,А4754,Снайпер,110,110001,КІБР,333 брез,10/07/2025,12/01/2025,№130 від 01.12.2025,12978,
солдат,3669218779,КУЗЬМЕНКО Олег Глібович,06/16/2000,А0501,Водій,837,837037,КІБР,111 брез,10/16/2025,12/12/2025,№270 від 12.12.2025,98828,
старший сержант,3235769943,ТКАЧУК Руслан Юрійович,08/03/1988,А1126,Радіотелефоніст,403,403733,КІБР,242 ЦПП,11/18/2025,01/13/2026,№21 від 13.01.2026,65087,
молодший сержант,3552769524,ТИЩЕНКО Вадим Степанович,04/08/1997,А0139,Радіотелефоніст,403,403733,КІБР,121 НЦ,10/02/2025,11/25/2025,№319 від 25.11.2025,34868,
сержант,2758515908,КИРИЛЕНКО Дмитро Григорович,07/11/1975,А1126,Телеграфіст,402,402721,КІБР,222 брез,11/09/2025,12/24/2025,№249 від 24.12.2025,82681,
молодший сержант,2935342865,ШЕВЧЕНКО Віталій Андрійович,05/13/1980,А1126,Снайпер,110,110001,КІБР,222 брез,10/18/2025,12/05/2025,№83 від 05.12.2025,73409,
сержант,3063378873,ПАНЧЕНКО В'ячеслав Юрійович,11/14/1983,А0501,Телеграфіст,402,402721,КІБР,333 брез,11/12/2025,01/09/2026,№71 від 09.01.2026,36470,
солдат,2579628145,ГРИЦЕНКО Віктор Миколайович,08/17/1970,А4007,Кухар,868,868512,КІБР,222 брез,11/22/2025,01/07/2026,№455 від 07.01.2026,40634,
молодший сержант,3560649085,БОНДАРЕНКО Сергій Андрійович,06/26/1997,А4007,Оператор БПЛА,212,212720,КІБР,242 ЦПП,11/08/2025,01/06/2026,№176 від 06.01.2026,51885,
старший солдат,3422848635,САВЧЕНКО Володимир Володимирович,09/17/1993,А7014,Заряджаючий,113,113251,КІБР,121 НЦ,10/09/2025,11/26/2025,№276 від 26.11.2025,23731,
солдат,3831149700,ПАВЛЕНКО Юрій Андрійович,11/21/2004,А4010,Бойовий медик,878,878453,КІБР,222 брез,10/06/2025,11/27/2025,№48 від 27.11.2025,62243,
старший солдат,2889875557,ОЛІЙНИК Володимир Михайлович,02/13/1979,А0666,Бойовий медик,878,878453,КІБР,333 брез,11/15/2025,01/09/2026,№104 від 09.01.2026,37487,
старший сержант,3750449384,ПАВЛЕНКО Олександр Петрович,09/06/2002,А7014,Розвідник,106,106642,КІБР,242 ЦПП,11/18/2025,01/16/2026,№37 від 16.01.2026,10226,
старший солдат,3057945323,ТКАЧУК Денис Петрович,09/21/1983,А2167,Розвідник,106,106642,КІБР,121 НЦ,10/09/2025,11/28/2025,№308 від 28.11.2025,72212,
старший сержант,3812372419,БОНДАРЕНКО Артем Віталійович,05/17/2004,А4007,Розвідник,106,106642,КІБР,121 НЦ,11/27/2025,01/13/2026,№215 від 13.01.2026,78424,
сержант,3467098447,КОРШЕВНЮК Олексій Петрович,12/03/1994,А1126,Бойовий медик,878,878453,КІБР,222 брез,11/09/2025,12/30/2025,№84 від 30.12.2025,11809,
головний сержант,3054527350,ТИЩЕНКО Борис Юрійович,08/18/1983,А4754,Телеграфіст,402,402721,КІБР,222 брез,10/06/2025,11/26/2025,№377 від 26.11.2025,44178,
старший солдат,3317054302,ПАНЧЕНКО Олег Павлович,10/25/1990,А4010,Розвідник,106,106642,КІБР,111 брез,10/16/2025,12/06/2025,№488 від 06.12.2025,92519,
головний сержант,3094983129,МЕЛЬНИК Руслан Анатолійович,09/25/1984,А0139,Сапер,166,166611,КІБР,333 брез,10/11/2025,12/07/2025,№113 від 07.12.2025,20393,
молодший сержант,3600251420,ТИЩЕНКО В'ячеслав Іванович,07/27/1998,А0666,Бойовий медик,878,878453,КІБР,333 брез,10/09/2025,12/08/2025,№54 від 08.12.2025,63391,
солдат,2614002260,ШЕВЧЕНКО Олег Іванович,07/27/1971,А0666,Розвідник,106,106642,КІБР,242 ЦПП,11/15/2025,12/30/2025,№149 від 30.12.2025,58852,
старший солдат,3183629645,ШЕВЧЕНКО Анатолій Іванович,03/01/1987,А0998,Радіотелефоніст,403,403733,КІБР,111 брез,10/27/2025,12/11/2025,№196 від 11.12.2025,51824,
солдат,3626936362,ОЛІЙНИК Роман Сергійович,04/20/1999,А0501,Заряджаючий,113,113251,КІБР,111 брез,10/09/2025,11/27/2025,№315 від 27.11.2025,91893,
головний сержант,3619101089,ПАНЧЕНКО Богдан Олександрович,02/01/1999,А1126,Механік-водій,121,121223,КІБР,121 НЦ,10/16/2025,12/01/2025,№496 від 01.12.2025,21859,
сержант,3499625847,ГРИЦЕНКО Василь Сергійович,10/25/1995,А1126,Радіотелефоніст,403,403733,КІБР,242 ЦПП,10/19/2025,12/03/2025,№500 від 03.12.2025,17364,
старший солдат,2703680480,ХОТЯНОВИЧ Василь Віталійович,01/08/1974,А0666,Стрілець,100,100915,БЗВП,121 НЦ,10/22/2025,12/08/2025,№317 від 08.12.2025,11114,
старший солдат,3468574452,ХОТЯНОВИЧ Сергій Олегович,12/18/1994,А7014,Сапер,166,166611,КІБР,222 брез,10/10/2025,12/05/2025,№144 від 05.12.2025,54349,
головний сержант,3179055593,ЛИТВИН Юрій Олександрович,01/14/1987,А7014,Кулеметник,101,101255,КІБР,222 брез,10/18/2025,12/13/2025,№97 від 13.12.2025,12934,
